Workload,CPU_Load,Clock_Speed,Peak_RAM,Battery_Consumption
UW_Heavy,97.57,2483,6700.17,1
QS_16,83.22,1893,4440.04,0
QS_24 ,81.92,1893,3899.79,0
QS_32,80.30,1893,3591.87,0
QS_40,76.22,1893,3709.42,0
QS_48,74.62,1893,3678.04,0
QS_56,84.32,1893,3723.79,0
QS_64,86.25,1893,3999.23,0
QS_72,56.04,1893,3524.95,1
QS_80,56.97,1893,3657.43,2
QS_88,50.71,1893,3647.16,4
QS_94,45.67,2100,6660.36,7
