Workload,CPU_Load,Clock_Speed,Peak_RAM,Battery_Consumption
UW_Light,52,2483,6398.65,0.4
PR_16,0,2483,3678.44,0
PR_24,0,2483,3259.97,0
PR_32,0,2483,3729.07,0
PR_40,0,2483,3381.87,0
PR_48,0,2483,3724.75,0
PR_56,0.50,2483,3664.64,0
PR_64,0.50,2483,3433.86,0
PR_72,0,2483,3317.72,0
PR_80,21.25,2483,3400.30,0
PR_88,56.28,2483,3531.98,0
PR_96,46.85,2483,3620.53,0
PR_104,38.85,2483,3711.74,0
PR_112,29.91,2483,3512.41,0
PR_115,27.88,2483,3368.79,14
PR_116,31.68,2483,4375.59,8
