Bit Length (x-axis) ,CPU Load (y-axis)
64,0
64,0
64,0
72,12.20
72,0
72,22.80
80,16.87
80,17.80
80,21.53
96,12.89
96,13.88
96,15.73
104,15.21
104,14.09
104,13.83
111,12.98
111,12.73
111,14.21
