Bit Length (x-axis) ,CPU Load (y-axis)
64,49.34
64,48.35
64,42.26
72,60.58
72,60.37
72,35.65
80,53.70
80,34.57
80,34.57
88,58.84
88,56.02
88,61.03
112,46.68
112,44.57
112,44.00
120,47.27
120,34.49
120,39.95
128,48.46
128,45.25
128,37.18
136,32.50
136,39.63
136,46.20
176,97.38
176,92.47
176,90.90
180,86.35
180,95.78
180,97.07
