Bit Length (x-axis) ,CPU Load (y-axis)
64,0
64,0
64,0
72,0
72,0
72,0
80,30.63
80,35.50
80,55.58
88,40.63
88,44.31
88,62.43
96,42.21
96,31.83
96,33.95
112,26.8
112,27.57
112,28.53
116,25.51
116,26.75
116,32.23
