Bit Length (x-axis) ,CPU Load (y-axis)
48,58.91
48,67.82
48,55.14
56,50.38
56,51.97
56,57.25
64,31.54
64,30.17
64,35.19
72,25.11
72,24.88
72,25.67
80,24.79
80,25.90
80,24.89
88,24.26
88,24.99
88,25.27
94,24.23
94,24.27
94,24.05
