Bit Length (x-axis) ,CPU Load (y-axis)
32,75.34
32,81.92
32,84.14
40,74.74
40,68.90
40,67.18
48,80.35
48,68.80
48,69.14
56,87.45
56,70.32
56,65.76
80,57.50
80,53.71
80,60.20
88,47.16
88,46.53
88,47.77
94,46.24
94,44.50
94,44.97
