Trial_ID,CPU_Load,Clock_Speed,Peak_RAM,Battery_Consumption
1,48.18,1893,5886.57,0
2,48.37,1893,5796.48,0
3,47.46,1893,5693.5,0
4,45.75,1893,5294.03,1
5,44.04,1893,5106.36,1



			
