Workload,Mean_Distance,CI_Lower,CI_Upper,Error_Margin
PR_16,0.9832900865849862,0.958793242664481,1.0077869305054914,0.024496843920505187
PR_24,0.9342284977739108,0.9097011604534506,0.958755835094371,0.024527337320460214
PR_32,1.3870735013934907,1.3635468986354187,1.4106001041515628,0.023526602758072154
PR_40,1.391283452984211,1.3677931869369833,1.414773719031439,0.02349026604722791
PR_48,0.8964907442392894,0.8719375541782497,0.9210439343003292,0.024553190061039773
PR_56,0.8818737850993534,0.8573099534390276,0.9064376167596793,0.024563831660325854
PR_64,1.3391901753270719,1.3152116837718235,1.3631686668823202,0.023978491555248324
PR_72,1.5152719741452003,1.4976405288681385,1.5329034194222622,0.01763144527706181
PR_80,0.8382730914273694,0.8235186235962377,0.853027559258501,0.014754467831131624
PR_88,0.9532997970063469,0.9397170194598787,0.9668825745528151,0.01358277754646821
PR_96,0.8577298334907038,0.8428237852588821,0.8726358817225254,0.014906048231821619
PR_104,1.1829957518673155,1.1545892242610214,1.2114022794736097,0.02840652760629408
PR_111,0.2232495937028971,0.2123714909031657,0.2341276965026285,0.010878102799731388
