Bit Length (x-axis) ,Mean Runtime (y-axis)
64,5.023333333
72,8.356666667
80,14.21666667
88,11.51666667
112,62.19
120,171.59
128,192.0066667
136,412.95
176,823.5333333
180,784.7066667
