CPU_Load,Clock_Speed,Peak_RAM,Battery_Consumption
75.33,1893,5403.30,0
72.40,1893,5460.82,0
63.07,1893,5280.21,0
69.69,1893,5208.25,0
60.65,1893,5178.17,0
